Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,57,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"AutoScaleDimensions = new SizeF(7F, 15F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,53,12,T:System.Windows.Forms.Button,,,,,button1.Click += button1_Click;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,53,12,E:System.Windows.Forms.Control.Click,,,,,button1.Click += button1_Click;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,52,12,T:System.Windows.Forms.Button,,,,,button1.UseVisualStyleBackColor = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,52,12,P:System.Windows.Forms.ButtonBase.UseVisualStyleBackColor,,,,,button1.UseVisualStyleBackColor = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,51,12,T:System.Windows.Forms.Button,,,,,"button1.Text = ""button1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,51,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"button1.Text = ""button1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,50,12,T:System.Windows.Forms.Button,,,,,button1.TabIndex = 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,50,12,P:System.Windows.Forms.Control.TabIndex,,,,,button1.TabIndex = 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,49,12,T:System.Windows.Forms.Button,,,,,"button1.Size = new Size(233, 10);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,49,12,P:System.Windows.Forms.Control.Size,,,,,"button1.Size = new Size(233, 10);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,48,12,T:System.Windows.Forms.Button,,,,,"button1.Name = ""button1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,48,12,P:System.Windows.Forms.Control.Name,,,,,"button1.Name = ""button1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,47,12,T:System.Windows.Forms.Button,,,,,"button1.Location = new Point(3, 37);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,47,12,P:System.Windows.Forms.Control.Location,,,,,"button1.Location = new Point(3, 37);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,43,12,T:System.Windows.Forms.Label,,,,,"lbAction.Text = ""label1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,43,12,P:System.Windows.Forms.Label.Text,,,,,"lbAction.Text = ""label1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,42,12,T:System.Windows.Forms.Label,,,,,lbAction.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,42,12,P:System.Windows.Forms.Control.TabIndex,,,,,lbAction.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,41,12,T:System.Windows.Forms.Label,,,,,"lbAction.Size = new Size(65, 25);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,41,12,P:System.Windows.Forms.Control.Size,,,,,"lbAction.Size = new Size(65, 25);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,40,12,T:System.Windows.Forms.Label,,,,,"lbAction.Name = ""lbAction"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,40,12,P:System.Windows.Forms.Control.Name,,,,,"lbAction.Name = ""lbAction"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,39,12,T:System.Windows.Forms.Label,,,,,"lbAction.Location = new Point(3, 9);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,39,12,P:System.Windows.Forms.Control.Location,,,,,"lbAction.Location = new Point(3, 9);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,38,12,T:System.Windows.Forms.Label,,,,,lbAction.ForeColor = Color.Red;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,38,12,P:System.Windows.Forms.Control.ForeColor,,,,,lbAction.ForeColor = Color.Red;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Drawing.GraphicsUnit,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Drawing.GraphicsUnit,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,F:System.Drawing.GraphicsUnit.Point,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Drawing.FontStyle,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Drawing.FontStyle,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,F:System.Drawing.FontStyle.Bold,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Drawing.Font,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit)",,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Windows.Forms.Label,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,T:System.Drawing.Font,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,37,12,P:System.Windows.Forms.Control.Font,,,,,"lbAction.Font = new Font(""Segoe UI"", 14F, FontStyle.Bold, GraphicsUnit.Point);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,36,12,T:System.Windows.Forms.Label,,,,,lbAction.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,36,12,P:System.Windows.Forms.Label.AutoSize,,,,,lbAction.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,32,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,31,12,T:System.Windows.Forms.Button,,,,,button1 = new Button();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,31,12,M:System.Windows.Forms.Button.#ctor,,,,,button1 = new Button();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,31,12,T:System.Windows.Forms.Button,,,,,button1 = new Button();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,30,12,T:System.Windows.Forms.Label,,,,,lbAction = new Label();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,30,12,M:System.Windows.Forms.Label.#ctor,,,,,lbAction = new Label();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,30,12,T:System.Windows.Forms.Label,,,,,lbAction = new Label();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,19,12,M:System.Windows.Forms.Form.Dispose(System.Boolean),,,,,base.Dispose(disposing);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,37,12,M:System.Windows.Forms.Form.Close,,,,,this.Close();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,31,12,P:System.Windows.Forms.Form.TransparencyKey,,,,,this.TransparencyKey = Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,30,12,P:System.Windows.Forms.Form.BackColor,,,,,this.BackColor = Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,28,8,M:System.Windows.Forms.Form.#ctor,,,,,public FormAction()          {              this.BackColor = Color.Magenta;              this.TransparencyKey = Color.Magenta;              InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,25,12,T:System.Windows.Forms.Label,,,,,lbAction.Text = datoRecibido;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,25,12,P:System.Windows.Forms.Label.Text,,,,,lbAction.Text = datoRecibido;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,31,12,P:System.Windows.Forms.Form.TransparencyKey,,,,,this.TransparencyKey = Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,30,12,P:System.Windows.Forms.Form.BackColor,,,,,this.BackColor = Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,28,8,M:System.Windows.Forms.Form.#ctor,,,,,public FormAction()          {              this.BackColor = Color.Magenta;              this.TransparencyKey = Color.Magenta;              InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.cs,4,38,T:System.Windows.Forms.Form,,,,,Form
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FrmOverlay.Designer.cs,211,22,T:System.Windows.Forms.Label,,,,,lbAction
